year,n_papers,mean_score,median_score,std_score,n_outliers,outlier_rate
2015,156,0.2978,0.2939,0.0847,7,0.0449
2016,164,0.3064,0.3112,0.0793,4,0.0244
2017,171,0.2966,0.2973,0.081,5,0.0292
2018,184,0.284,0.2872,0.0867,9,0.0489
2019,193,0.2858,0.2882,0.0917,10,0.0518
2020,150,0.2801,0.2838,0.0771,7,0.0467
2021,150,0.2761,0.2776,0.0864,11,0.0733
2022,150,0.285,0.2882,0.081,6,0.04
2023,150,0.2832,0.2837,0.0837,8,0.0533
2024,150,0.285,0.2914,0.0708,7,0.0467
2025,150,0.2613,0.2587,0.0874,12,0.08
2026,150,0.2372,0.2288,0.0675,10,0.0667
